bitscore,evalue,gapopen,identification,length,mismatch,pident,qend,qlen,qseqid,qstart,qtitle,send,slen,sseqid,sstart,stitle
25.0,6.03e-05,0,363131328,21,9,57.1,76,151,A00953:711:H3W2YDSX7:4:2242:31521:19758,138,A00953:711:H3W2YDSX7:4:2242:31521:19758,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131328,21,9,57.1,108,151,A00953:711:H3W2YDSX7:4:2440:8314:12320,46,A00953:711:H3W2YDSX7:4:2440:8314:12320,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363131328,21,9,57.1,65,151,A00953:711:H3W2YDSX7:4:2642:19822:5603,3,A00953:711:H3W2YDSX7:4:2642:19822:5603,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.8,3.18e-05,0,363132208,16,6,62.5,150,151,A00953:711:H3W2YDSX7:4:1165:15212:4163,103,A00953:711:H3W2YDSX7:4:1165:15212:4163,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.9,1.22e-05,0,363132208,16,6,62.5,142,151,A00953:711:H3W2YDSX7:4:1231:9932:4131,95,A00953:711:H3W2YDSX7:4:1231:9932:4131,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.9,1.22e-05,0,363132208,16,6,62.5,141,151,A00953:711:H3W2YDSX7:4:1502:13684:19554,94,A00953:711:H3W2YDSX7:4:1502:13684:19554,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.9,1.22e-05,0,363132208,16,6,62.5,141,151,A00953:711:H3W2YDSX7:4:1502:13530:21386,94,A00953:711:H3W2YDSX7:4:1502:13530:21386,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.68e-05,0,363132208,16,6,62.5,14,151,A00953:711:H3W2YDSX7:4:1639:5602:24972,61,A00953:711:H3W2YDSX7:4:1639:5602:24972,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.9,1.22e-05,0,363132208,16,6,62.5,132,151,A00953:711:H3W2YDSX7:4:2268:32750:36072,85,A00953:711:H3W2YDSX7:4:2268:32750:36072,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.8,3.18e-05,0,363132208,16,6,62.5,148,151,A00953:711:H3W2YDSX7:4:2368:15962:30859,101,A00953:711:H3W2YDSX7:4:2368:15962:30859,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.2,2.31e-05,0,363132208,16,6,62.5,145,151,A00953:711:H3W2YDSX7:4:2437:3269:18897,98,A00953:711:H3W2YDSX7:4:2437:3269:18897,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.2,2.31e-05,0,363132208,16,6,62.5,7,151,A00953:711:H3W2YDSX7:4:2516:24207:31266,54,A00953:711:H3W2YDSX7:4:2516:24207:31266,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.8,3.18e-05,0,363132208,16,6,62.5,151,151,A00953:711:H3W2YDSX7:4:2566:7762:36793,104,A00953:711:H3W2YDSX7:4:2566:7762:36793,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.8,3.18e-05,0,363132208,16,6,62.5,151,151,A00953:711:H3W2YDSX7:4:2615:18945:15984,104,A00953:711:H3W2YDSX7:4:2615:18945:15984,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.2,2.21e-05,0,363132208,20,8,60.0,104,151,A00953:711:H3W2YDSX7:4:1109:19488:7341,45,A00953:711:H3W2YDSX7:4:1109:19488:7341,99,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.9,1.22e-05,0,363132208,16,6,62.5,23,151,A00953:711:H3W2YDSX7:4:1239:7003:20384,70,A00953:711:H3W2YDSX7:4:1239:7003:20384,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.9,1.22e-05,0,363132208,16,6,62.5,141,151,A00953:711:H3W2YDSX7:4:1251:7780:12680,94,A00953:711:H3W2YDSX7:4:1251:7780:12680,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.47e-05,0,363132208,16,6,62.5,69,143,A00953:711:H3W2YDSX7:4:1521:2718:7200,22,A00953:711:H3W2YDSX7:4:1521:2718:7200,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.8,3.05e-05,0,363132208,16,6,62.5,6,151,A00953:711:H3W2YDSX7:4:1531:2917:17879,53,A00953:711:H3W2YDSX7:4:1531:2917:17879,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.9,1.17e-05,0,363132208,16,6,62.5,125,151,A00953:711:H3W2YDSX7:4:2271:24325:30405,78,A00953:711:H3W2YDSX7:4:2271:24325:30405,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.9,1.22e-05,0,363132208,16,6,62.5,129,151,A00953:711:H3W2YDSX7:4:2275:9362:7623,82,A00953:711:H3W2YDSX7:4:2275:9362:7623,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.68e-05,0,363132208,16,6,62.5,139,151,A00953:711:H3W2YDSX7:4:2468:20374:5306,92,A00953:711:H3W2YDSX7:4:2468:20374:5306,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
27.3,8.89e-06,0,363132208,16,5,68.8,82,151,A00953:711:H3W2YDSX7:4:2478:23411:29888,35,A00953:711:H3W2YDSX7:4:2478:23411:29888,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
27.7,6.47e-06,0,363132208,16,5,68.8,105,151,A00953:711:H3W2YDSX7:4:2506:11614:1438,58,A00953:711:H3W2YDSX7:4:2506:11614:1438,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.9,1.22e-05,0,363132208,16,6,62.5,16,151,A00953:711:H3W2YDSX7:4:2508:16658:16125,63,A00953:711:H3W2YDSX7:4:2508:16658:16125,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.2,2.21e-05,0,363132208,16,6,62.5,149,151,A00953:711:H3W2YDSX7:4:2566:28574:4445,102,A00953:711:H3W2YDSX7:4:2566:28574:4445,50,374,WP_003492354.1,35,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
43.1,2.11e-11,0,363134049,43,21,51.2,151,151,A00953:711:H3W2YDSX7:4:1207:8847:2033,23,A00953:711:H3W2YDSX7:4:1207:8847:2033,169,374,WP_003492354.1,127,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
28.5,3.28e-06,0,363134049,20,9,55.0,68,151,A00953:711:H3W2YDSX7:4:1248:9082:3443,9,A00953:711:H3W2YDSX7:4:1248:9082:3443,328,374,WP_003492354.1,309,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363134049,21,9,57.1,80,151,A00953:711:H3W2YDSX7:4:1306:27091:1689,142,A00953:711:H3W2YDSX7:4:1306:27091:1689,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
60.5,1.54e-17,0,363134049,48,26,45.8,148,151,A00953:711:H3W2YDSX7:4:1317:12427:33786,5,A00953:711:H3W2YDSX7:4:1317:12427:33786,349,374,WP_003492354.1,302,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.68e-05,0,363134049,21,9,57.1,82,151,A00953:711:H3W2YDSX7:4:1403:15510:23813,144,A00953:711:H3W2YDSX7:4:1403:15510:23813,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
45.8,2.24e-12,0,363134049,37,18,51.4,131,151,A00953:711:H3W2YDSX7:4:1438:24804:6872,21,A00953:711:H3W2YDSX7:4:1438:24804:6872,374,374,WP_003492354.1,338,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363134049,21,9,57.1,80,151,A00953:711:H3W2YDSX7:4:1438:17472:35540,142,A00953:711:H3W2YDSX7:4:1438:17472:35540,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363134049,21,9,57.1,138,151,A00953:711:H3W2YDSX7:4:1470:18656:25410,76,A00953:711:H3W2YDSX7:4:1470:18656:25410,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
50.8,3.95e-14,0,363134049,46,24,47.8,147,151,A00953:711:H3W2YDSX7:4:1646:4978:26490,10,A00953:711:H3W2YDSX7:4:1646:4978:26490,250,374,WP_003492354.1,205,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
55.1,1.25e-15,1,363134049,41,15,61.0,141,151,A00953:711:H3W2YDSX7:4:2140:6036:26976,19,A00953:711:H3W2YDSX7:4:2140:6036:26976,69,374,WP_003492354.1,30,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
65.5,2.45e-19,0,363134049,49,24,51.0,3,151,A00953:711:H3W2YDSX7:4:2165:15456:30639,149,A00953:711:H3W2YDSX7:4:2165:15456:30639,364,374,WP_003492354.1,316,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
49.3,1.22e-13,1,363134049,46,22,50.0,1,141,A00953:711:H3W2YDSX7:4:2173:30192:4335,138,A00953:711:H3W2YDSX7:4:2173:30192:4335,302,374,WP_003492354.1,258,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
55.1,1.25e-15,0,363134049,42,19,54.8,132,151,A00953:711:H3W2YDSX7:4:2303:28881:34287,7,A00953:711:H3W2YDSX7:4:2303:28881:34287,271,374,WP_003492354.1,230,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
65.1,3.51e-19,0,363134049,49,23,53.1,2,151,A00953:711:H3W2YDSX7:4:2542:1353:10473,148,A00953:711:H3W2YDSX7:4:2542:1353:10473,366,374,WP_003492354.1,318,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
32.3,6.52e-08,0,363134049,29,15,48.3,95,101,A00953:711:H3W2YDSX7:4:2561:32542:7467,9,A00953:711:H3W2YDSX7:4:2561:32542:7467,289,374,WP_003492354.1,261,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
65.9,1.79e-19,0,363134049,47,23,51.1,9,151,A00953:711:H3W2YDSX7:4:2675:4652:4977,149,A00953:711:H3W2YDSX7:4:2675:4652:4977,79,374,WP_003492354.1,33,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
57.8,1.39e-16,0,363134049,48,25,47.9,151,151,A00953:711:H3W2YDSX7:4:1129:14091:34788,8,A00953:711:H3W2YDSX7:4:1129:14091:34788,73,374,WP_003492354.1,26,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363134049,21,9,57.1,138,151,A00953:711:H3W2YDSX7:4:1237:24804:15890,76,A00953:711:H3W2YDSX7:4:1237:24804:15890,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
58.5,7.12e-17,0,363134049,46,25,45.7,9,151,A00953:711:H3W2YDSX7:4:1267:2591:5979,146,A00953:711:H3W2YDSX7:4:1267:2591:5979,83,374,WP_003492354.1,38,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
65.1,3.51e-19,0,363134049,50,23,54.0,151,151,A00953:711:H3W2YDSX7:4:1372:11469:9580,2,A00953:711:H3W2YDSX7:4:1372:11469:9580,369,374,WP_003492354.1,320,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
38.5,9.19e-10,0,363134049,37,17,54.1,8,151,A00953:711:H3W2YDSX7:4:1417:23023:12148,118,A00953:711:H3W2YDSX7:4:1417:23023:12148,163,374,WP_003492354.1,127,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
62.0,4.38e-18,0,363134049,48,23,52.1,144,151,A00953:711:H3W2YDSX7:4:1431:29107:15734,1,A00953:711:H3W2YDSX7:4:1431:29107:15734,69,374,WP_003492354.1,22,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
41.2,9.72e-11,0,363134049,33,16,51.5,45,151,A00953:711:H3W2YDSX7:4:1438:24804:6872,143,A00953:711:H3W2YDSX7:4:1438:24804:6872,374,374,WP_003492354.1,342,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
57.8,1.39e-16,1,363134049,50,22,54.0,151,151,A00953:711:H3W2YDSX7:4:1651:29803:3161,2,A00953:711:H3W2YDSX7:4:1651:29803:3161,82,374,WP_003492354.1,34,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
45.8,2.24e-12,0,363134049,43,23,46.5,149,151,A00953:711:H3W2YDSX7:4:1673:11695:20650,21,A00953:711:H3W2YDSX7:4:1673:11695:20650,191,374,WP_003492354.1,149,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
41.6,7.41e-11,0,363134049,31,13,58.1,94,151,A00953:711:H3W2YDSX7:4:2137:13196:3239,2,A00953:711:H3W2YDSX7:4:2137:13196:3239,374,374,WP_003492354.1,344,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
34.3,2.96e-08,0,363134049,27,11,59.3,87,151,A00953:711:H3W2YDSX7:4:2141:24505:35634,7,A00953:711:H3W2YDSX7:4:2141:24505:35634,56,374,WP_003492354.1,30,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
53.5,4.4e-15,0,363134049,50,27,46.0,151,151,A00953:711:H3W2YDSX7:4:2165:15456:30639,2,A00953:711:H3W2YDSX7:4:2165:15456:30639,342,374,WP_003492354.1,293,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
49.3,1.22e-13,1,363134049,46,22,50.0,141,141,A00953:711:H3W2YDSX7:4:2173:30192:4335,4,A00953:711:H3W2YDSX7:4:2173:30192:4335,302,374,WP_003492354.1,258,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
47.0,8.72e-13,0,363134049,38,20,47.4,128,151,A00953:711:H3W2YDSX7:4:2223:10050:7999,15,A00953:711:H3W2YDSX7:4:2223:10050:7999,60,374,WP_003492354.1,23,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
43.5,1.47e-11,0,363134049,43,23,46.5,149,151,A00953:711:H3W2YDSX7:4:2228:30508:32878,21,A00953:711:H3W2YDSX7:4:2228:30508:32878,191,374,WP_003492354.1,149,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363134049,21,9,57.1,30,151,A00953:711:H3W2YDSX7:4:2255:4345:32628,92,A00953:711:H3W2YDSX7:4:2255:4345:32628,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
43.9,1.12e-11,2,363134049,48,22,50.0,148,151,A00953:711:H3W2YDSX7:4:2364:1325:28244,5,A00953:711:H3W2YDSX7:4:2364:1325:28244,298,374,WP_003492354.1,253,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
62.8,2.33e-18,0,363134049,50,25,50.0,151,151,A00953:711:H3W2YDSX7:4:2402:6858:15374,2,A00953:711:H3W2YDSX7:4:2402:6858:15374,357,374,WP_003492354.1,308,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
62.4,3.2e-18,0,363134049,46,20,56.5,150,151,A00953:711:H3W2YDSX7:4:2409:24605:30170,13,A00953:711:H3W2YDSX7:4:2409:24605:30170,338,374,WP_003492354.1,293,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
59.7,2.77e-17,0,363134049,46,24,47.8,9,151,A00953:711:H3W2YDSX7:4:2533:16315:34976,146,A00953:711:H3W2YDSX7:4:2533:16315:34976,83,374,WP_003492354.1,38,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
47.8,4.66e-13,1,363134049,45,20,53.3,140,151,A00953:711:H3W2YDSX7:4:2539:25807:30874,6,A00953:711:H3W2YDSX7:4:2539:25807:30874,285,374,WP_003492354.1,242,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
55.8,6.41e-16,0,363134049,41,16,61.0,125,151,A00953:711:H3W2YDSX7:4:2542:1353:10473,3,A00953:711:H3W2YDSX7:4:2542:1353:10473,271,374,WP_003492354.1,231,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
59.3,3.96e-17,0,363134049,49,23,53.1,147,151,A00953:711:H3W2YDSX7:4:2572:1841:14481,1,A00953:711:H3W2YDSX7:4:2572:1841:14481,130,374,WP_003492354.1,82,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363131354,21,9,57.1,122,151,A00953:711:H3W2YDSX7:4:1134:17553:21872,60,A00953:711:H3W2YDSX7:4:1134:17553:21872,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
24.6,8.3e-05,0,363131354,20,8,60.0,1,151,A00953:711:H3W2YDSX7:4:1204:29342:36307,60,A00953:711:H3W2YDSX7:4:1204:29342:36307,99,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363131354,21,9,57.1,30,151,A00953:711:H3W2YDSX7:4:1233:16550:9580,92,A00953:711:H3W2YDSX7:4:1233:16550:9580,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363131354,21,9,57.1,90,151,A00953:711:H3W2YDSX7:4:1252:24921:35258,28,A00953:711:H3W2YDSX7:4:1252:24921:35258,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.28e-05,0,363131354,21,9,57.1,49,143,A00953:711:H3W2YDSX7:4:1334:7609:4210,111,A00953:711:H3W2YDSX7:4:1334:7609:4210,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363131354,21,9,57.1,69,151,A00953:711:H3W2YDSX7:4:1335:31304:23923,131,A00953:711:H3W2YDSX7:4:1335:31304:23923,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
24.6,7.95e-05,0,363131354,20,8,60.0,149,149,A00953:711:H3W2YDSX7:4:1367:13765:16438,90,A00953:711:H3W2YDSX7:4:1367:13765:16438,99,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.68e-05,0,363131354,21,9,57.1,89,151,A00953:711:H3W2YDSX7:4:1443:4074:35039,151,A00953:711:H3W2YDSX7:4:1443:4074:35039,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363131354,21,9,57.1,27,151,A00953:711:H3W2YDSX7:4:1452:4698:17237,89,A00953:711:H3W2YDSX7:4:1452:4698:17237,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363131354,21,9,57.1,9,151,A00953:711:H3W2YDSX7:4:1512:6524:8155,71,A00953:711:H3W2YDSX7:4:1512:6524:8155,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363131354,21,9,57.1,79,151,A00953:711:H3W2YDSX7:4:1568:6723:24314,141,A00953:711:H3W2YDSX7:4:1568:6723:24314,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363131354,21,9,57.1,54,151,A00953:711:H3W2YDSX7:4:1666:29722:26506,116,A00953:711:H3W2YDSX7:4:1666:29722:26506,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131354,21,9,57.1,114,151,A00953:711:H3W2YDSX7:4:2133:26096:21981,52,A00953:711:H3W2YDSX7:4:2133:26096:21981,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131354,21,9,57.1,76,151,A00953:711:H3W2YDSX7:4:2171:15266:18411,14,A00953:711:H3W2YDSX7:4:2171:15266:18411,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363131354,21,9,57.1,54,151,A00953:711:H3W2YDSX7:4:2178:10511:27680,116,A00953:711:H3W2YDSX7:4:2178:10511:27680,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.38e-05,0,363131354,21,9,57.1,65,151,A00953:711:H3W2YDSX7:4:2336:1045:24283,127,A00953:711:H3W2YDSX7:4:2336:1045:24283,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,4.2e-05,0,363131354,21,9,57.1,114,128,A00953:711:H3W2YDSX7:4:2427:13431:26944,52,A00953:711:H3W2YDSX7:4:2427:13431:26944,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363131354,21,9,57.1,63,151,A00953:711:H3W2YDSX7:4:2556:7139:2581,125,A00953:711:H3W2YDSX7:4:2556:7139:2581,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131354,21,9,57.1,7,151,A00953:711:H3W2YDSX7:4:2649:31006:8656,69,A00953:711:H3W2YDSX7:4:2649:31006:8656,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.8,3.18e-05,0,363131354,21,9,57.1,97,151,A00953:711:H3W2YDSX7:4:1323:10484:9408,35,A00953:711:H3W2YDSX7:4:1323:10484:9408,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.28e-05,0,363131354,21,9,57.1,95,143,A00953:711:H3W2YDSX7:4:1334:7609:4210,33,A00953:711:H3W2YDSX7:4:1334:7609:4210,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131354,21,9,57.1,133,151,A00953:711:H3W2YDSX7:4:1335:31304:23923,71,A00953:711:H3W2YDSX7:4:1335:31304:23923,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
24.6,7.95e-05,0,363131354,20,8,60.0,1,149,A00953:711:H3W2YDSX7:4:1367:13765:16438,60,A00953:711:H3W2YDSX7:4:1367:13765:16438,99,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363131354,21,9,57.1,74,151,A00953:711:H3W2YDSX7:4:1372:8612:12680,12,A00953:711:H3W2YDSX7:4:1372:8612:12680,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,5.77e-05,0,363131354,21,9,57.1,110,151,A00953:711:H3W2YDSX7:4:1568:6723:24314,48,A00953:711:H3W2YDSX7:4:1568:6723:24314,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
26.6,1.68e-05,0,363131354,21,9,57.1,66,151,A00953:711:H3W2YDSX7:4:1571:24813:30686,4,A00953:711:H3W2YDSX7:4:1571:24813:30686,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131354,21,9,57.1,77,151,A00953:711:H3W2YDSX7:4:1669:6379:14575,139,A00953:711:H3W2YDSX7:4:1669:6379:14575,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.0,6.03e-05,0,363131354,21,9,57.1,114,151,A00953:711:H3W2YDSX7:4:2253:15185:11882,52,A00953:711:H3W2YDSX7:4:2253:15185:11882,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
25.4,4.19e-05,0,363131354,21,9,57.1,95,151,A00953:711:H3W2YDSX7:4:2336:1045:24283,33,A00953:711:H3W2YDSX7:4:2336:1045:24283,100,374,WP_003492354.1,80,WP_003492354.1 MULTISPECIES: phenyllactyl-CoA dehydratase subunit FldC [Clostridium]
