#OTU ID	14748.MOUSE34.CAGE16.FSPFB6.S15	14748.MOUSE10.CAGE3.FSPF3XTG.S15	14748.MOUSE17.CAGE1.FSPF3XTG.S15	14748.MOUSE13.CAGE6.FSPFB6.S15	14748.MOUSE14.CAGE6.FSPFB6.S15	14748.MOUSE33.CAGE12.FSPF3XTG.S15	14748.MOUSE9.CAGE3.FSPF3XTG.S15	14748.MOUSE35.CAGE16.FSPFB6.S15	14748.MOUSE50.CAGE50.FSPF3XTG.S7	14748.MOUSE56.CAGE53.FSPF3XTG.S7	14748.MOUSE53.CAGE50.FSPF3XTG.S7	14748.MOUSE58.CAGE53.FSPF3XTG.S7	14748.MOUSE19.CAGE2.FSPF3XTG.S15	14748.MOUSE51.CAGE50.FSPF3XTG.S7	14748.MOUSE59.CAGE54.FSPFB6.S7	14748.MOUSE60.CAGE54.FSPFB6.S7	14748.MOUSE89.CAGE22.FSPF3XTG.S12	14748.MOUSE32.CAGE12.FSPF3XTG.S15	14748.MOUSE87.CAGE21.FSPF3XTG.S12	14748.MOUSE11.CAGE6.FSPFB6.S15	14748.MOUSE18.CAGE1.FSPF3XTG.S15	14748.MOUSE54.CAGE50.FSPF3XTG.S7	14748.MOUSE106.CAGE70.MSPF3XTG.S7	14748.MOUSE117.CAGE62.FSPF3XTG.S7	14748.MOUSE55.CAGE53.FSPF3XTG.S7	14748.MOUSE116.CAGE62.FSPF3XTG.S7	14748.MOUSE105.CAGE69.MSPF3XTG.S7	14748.MOUSE72.CAGE20.FSPF3XTG.S12	14748.MOUSE126.CAGE40.MSPF3XTG.S12	14748.MOUSE90.CAGE22.FSPF3XTG.S12	14748.MOUSE79.CAGE27.FSPFB6.S12	14748.MOUSE77.CAGE27.FSPFB6.S12	14748.MOUSE88.CAGE21.FSPF3XTG.S12	14748.MOUSE61.CAGE54.FSPFB6.S7	14748.MOUSE102.CAGE68.MSPF3XTG.S7	14748.MOUSE104.CAGE69.MSPF3XTG.S7	14748.MOUSE78.CAGE27.FSPFB6.S12	14748.MOUSE113.CAGE74.MSPFB6.S7	14748.MOUSE110.CAGE74.MSPFB6.S7	14748.MOUSE80.CAGE27.FSPFB6.S12	14748.MOUSE81.CAGE27.FSPFB6.S12	14748.MOUSE137.CAGE46.MSPFB6.S12	14748.MOUSE103.CAGE68.MSPF3XTG.S7	14748.MOUSE134.CAGE45.MSPFB6.S12	14748.MOUSE111.CAGE74.MSPFB6.S7	14748.MOUSE115.CAGE62.FSPF3XTG.S7	14748.MOUSE132.CAGE42.MSPF3XTG.S12	14748.MOUSE130.CAGE41.MSPF3XTG.S12	14748.MOUSE143.CAGE66.FSPFB6.S12	14748.MOUSE144.CAGE66.FSPFB6.S12	14748.MOUSE84.CAGE20.FSPF3XTG.S12	14748.MOUSE145.CAGE66.FSPFB6.S12	14748.MOUSE138.CAGE46.MSPFB6.S12	14748.MOUSE36.CAGE16.FSPFB6.S15	14748.MOUSE16.CAGE7.FSPFB6.S15	14748.MOUSE12.CAGE6.FSPFB6.S15	14748.MOUSE108.CAGE73.MSPFB6.S7	14748.MOUSE128.CAGE41.MSPF3XTG.S12	14748.MOUSE127.CAGE40.MSPF3XTG.S12	14748.MOUSE52.CAGE50.FSPF3XTG.S7	14748.MOUSE15.CAGE7.FSPFB6.S15	14748.MOUSE85.CAGE20.FSPF3XTG.S12	14748.MOUSE139.CAGE46.MSPFB6.S12	14748.MOUSE107.CAGE70.MSPF3XTG.S7	14748.MOUSE129.CAGE41.MSPF3XTG.S12	14748.MOUSE109.CAGE73.MSPFB6.S7	14748.MOUSE141.CAGE47.MSPFB6.S12	14748.MOUSE140.CAGE47.MSPFB6.S12	14748.MOUSE86.CAGE21.FSPF3XTG.S12	14748.MOUSE112.CAGE74.MSPFB6.S7	14748.MOUSE114.CAGE74.MSPFB6.S7	14748.MOUSE135.CAGE45.MSPFB6.S12	14748.MOUSE136.CAGE45.MSPFB6.S12	14748.MOUSE133.CAGE42.MSPF3XTG.S12	14748.MOUSE131.CAGE42.MSPF3XTG.S12
"K00625 -  E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]"	13	173	272	442	422	76	218	16	131	114	415	324	11	138	134	193	316	0	428	369	132	415	0	11	822	124	175	326	533	12	145	287	454	269	630	43	106	225	271	173	245	0	126	50	262	269	208	0	0	181	78	99	390	122	275	402	171	166	256	403	512	348	340	274	7	73	19	45	447	218	170	48	110	323	618
"K00626 -  ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"	3	10	33	99	52	426	120	3	24	72	7	599	2	2	10	21	38	0	44	29	152	75	0	0	545	2	136	67	11	2	73	44	37	57	147	41	37	41	19	101	163	0	68	50	721	2	1033	0	0	27	125	161	231	6	8	30	20	73	87	26	38	51	51	93	5	14	49	315	354	24	13	52	278	36	1772
"K00627 -  DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"	0	0	0	0	0	103	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	56
K00631 -  plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	0	0	0	0	0	221	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	55	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150
"K00632 -  fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]"	0	0	0	0	2	89	0	0	0	11	2	66	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	67
K00633 -  lacA; galactoside O-acetyltransferase [EC:2.3.1.18]	2	13	20	25	15	72	27	1	64	0	1	6	1	4	0	0	6	0	53	0	18	82	0	4	2	2	48	22	32	0	3	4	151	0	76	6	0	16	5	2	3	0	17	1	47	10	55	0	0	2	17	0	7	31	2	0	6	66	22	167	2	79	3	23	1	2	0	21	178	23	20	0	1	27	180
K00634 -  ptb; phosphate butyryltransferase [EC:2.3.1.19]	2	4	6	0	4	0	35	3	4	4	4	20	1	4	0	0	9	0	0	2	26	1	0	1	6	0	9	2	2	0	32	10	2	0	2	10	8	0	0	10	28	0	17	13	1	0	0	0	0	0	40	18	3	6	0	0	1	6	46	0	2	0	13	4	0	0	0	5	145	0	1	4	55	0	8
"K00635 -  tgs, wax-dgat; diacylglycerol O-acyltransferase / wax synthase [EC:2.3.1.20 2.3.1.75]"	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00639 -  kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]"	46	190	595	196	108	122	646	100	166	211	463	589	33	165	358	632	425	0	473	49	371	390	0	33	765	409	662	412	795	14	74	222	83	925	121	54	29	69	151	218	478	1	176	520	186	503	235	1	0	503	127	826	396	214	237	72	217	389	337	217	665	388	580	967	0	75	506	894	64	107	288	699	653	1384	285
K00640 -  cysE; serine O-acetyltransferase [EC:2.3.1.30]	46	347	284	302	536	230	390	31	35	375	475	341	25	408	234	493	693	0	1092	545	209	647	0	28	1801	298	134	655	1196	27	353	677	589	646	1497	73	165	550	632	481	556	0	219	155	763	630	518	0	0	521	140	403	658	183	418	507	318	138	597	459	778	372	563	949	6	220	158	453	260	373	435	171	184	645	2022
K00641 -  metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	12	67	32	187	281	33	81	8	4	257	359	72	18	143	265	363	348	0	639	224	68	410	0	2	1301	39	11	388	601	21	130	529	381	503	988	53	119	336	463	344	427	0	90	60	103	378	479	0	0	384	40	249	313	65	213	288	171	9	268	277	473	259	373	530	0	118	16	26	40	282	331	25	34	459	1053
"K00645 -  fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]"	58	385	686	627	728	177	812	76	180	454	699	649	46	356	610	674	1046	0	1561	576	761	754	0	47	2028	423	744	694	1480	50	310	762	858	976	1984	102	216	532	880	377	671	1	310	631	833	839	1260	0	0	643	161	619	971	209	798	647	410	488	731	534	1142	543	908	1515	7	235	1768	803	241	459	683	872	549	1632	1666
K00647 -  fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	0	28	16	0	0	227	8	0	6	0	3	0	1	16	0	0	4	0	10	0	95	28	0	1	44	16	1	11	23	0	0	0	13	0	8	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	3	0	31	0	21	0	0	4	0	12	59	7	0	2	1	0	0	0	10	0	0	0	0	5	78
K00648 -  fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	129	756	1366	937	1019	504	1610	148	523	758	1316	1400	72	528	859	1293	1563	0	2285	855	1183	1473	1	111	3117	868	1468	1442	2627	85	524	1027	1192	2308	2535	230	283	692	1086	612	973	2	621	1432	1076	1509	1411	0	0	1103	304	1541	1539	481	1239	806	718	1084	1324	1088	1867	1156	1707	2726	5	358	1919	1579	523	637	1022	1651	1269	3345	2583
K00651 -  metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	1	273	67	88	120	425	286	1	6	40	60	193	5	89	29	36	135	0	160	157	140	165	0	14	251	138	126	118	314	2	135	123	57	18	192	21	16	78	65	63	144	0	60	83	944	147	311	0	0	42	58	103	238	5	98	95	70	46	240	53	166	71	161	236	6	29	147	279	391	46	91	54	109	72	2343
K00652 -  bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]	76	524	840	565	757	178	878	103	197	497	926	497	39	503	593	858	978	0	1209	562	714	898	0	50	2059	615	574	888	1824	39	386	705	533	1381	1168	85	167	477	642	483	721	0	231	817	447	1044	299	0	0	831	171	966	964	255	579	584	517	373	754	541	1349	639	1115	1532	8	252	1077	874	126	495	595	832	632	1834	828
K00655 -  plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	30	321	453	432	547	186	648	43	170	297	390	363	32	248	415	526	700	0	1146	525	492	659	0	37	1351	281	418	529	1167	34	305	640	707	828	1509	81	162	333	561	845	1336	0	207	440	744	531	649	0	0	522	175	750	634	202	567	439	301	366	608	496	793	423	680	1073	5	140	633	653	361	301	390	492	424	1070	1930
"K00656 -  E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]"	16	563	222	304	166	1075	444	29	336	31	605	149	15	198	40	61	56	0	390	91	305	674	0	21	380	277	312	257	297	1	175	143	906	164	405	46	40	201	126	450	885	0	211	116	1148	214	645	0	0	117	234	325	417	235	86	192	132	363	212	1041	251	709	297	265	14	63	216	291	1314	193	190	27	152	221	4306
"K00657 -  speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]"	1	6	4	2	9	35	9	2	14	9	4	31	0	4	4	8	19	0	18	2	8	29	0	0	49	2	54	24	22	2	31	8	47	21	65	12	4	10	9	21	146	0	54	0	34	4	95	0	0	2	38	16	0	2	2	1	7	90	6	13	4	108	3	51	3	9	2	10	63	10	14	0	17	15	190
"K00658 -  DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"	0	32	4	2	10	147	15	4	12	6	6	77	1	7	20	14	47	0	65	4	12	28	0	0	99	22	29	28	84	5	34	47	111	46	128	20	12	4	12	178	306	0	79	10	12	18	49	0	0	31	45	129	54	0	4	10	11	19	22	12	16	27	36	91	2	16	44	30	6	6	4	14	14	44	284
K00661 -  maa; maltose O-acetyltransferase [EC:2.3.1.79]	78	423	790	706	793	248	895	79	337	626	840	858	55	462	647	1034	1230	1	1980	588	587	1196	0	62	2692	388	750	1221	2033	53	466	1031	1109	1545	2111	147	246	649	978	783	1010	0	442	493	619	991	511	0	0	839	309	947	908	348	702	604	475	594	906	880	1399	751	1217	1805	4	364	566	882	644	540	745	584	663	1943	1673
K00662 -  aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	1	1	6	11	9	0	10	0	0	5	0	42	0	0	20	7	0	0	10	4	4	0	0	0	4	0	2	20	0	0	6	3	1	4	28	0	6	7	0	28	16	0	3	0	109	0	14	0	0	0	3	16	24	2	3	2	4	0	0	0	12	2	10	14	0	2	8	76	14	5	6	15	22	3	66
K00663 -  aacA; aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]	0	0	0	0	0	0	0	1	0	0	0	1	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00666 -  K00666; fatty-acyl-CoA synthase [EC:6.2.1.-]	0	126	31	60	58	91	73	0	30	16	162	171	5	110	3	12	8	0	20	58	75	146	0	2	167	100	97	23	54	1	12	6	28	15	57	14	6	24	18	3	73	0	37	22	357	132	334	0	0	11	24	35	54	11	23	102	3	65	7	76	48	58	18	21	0	7	4	23	146	19	19	9	19	25	292
K00673 -  astA; arginine N-succinyltransferase [EC:2.3.1.109]	0	0	0	0	0	54	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	25	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
"K00674 -  dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"	0	21	0	13	9	47	21	0	7	0	1	16	1	21	0	7	30	0	61	6	20	45	0	1	71	13	11	25	47	3	20	4	71	4	81	14	2	14	22	9	25	0	39	0	216	26	129	0	0	3	17	6	88	2	6	4	7	26	23	2	22	56	3	98	3	1	57	33	101	13	17	4	0	24	1018
K00675 -  nhoA; N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
K00677 -  lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	110	706	1124	1073	1193	146	1140	81	296	807	1194	685	58	672	720	1127	1658	0	2296	998	830	1443	0	73	3509	705	765	1343	2653	69	570	1241	1058	1808	3053	146	296	704	1272	676	836	0	482	876	658	1338	920	0	0	1102	243	1076	1273	362	1074	1068	708	653	1203	945	1925	819	1458	2198	3	416	785	1133	395	696	935	983	667	2474	1877
K00680 -  ytmI; uncharacterized N-acetyltransferase [EC:2.3.1.-]	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00681 -  ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	0	8	2	5	2	156	26	0	2	24	0	45	0	4	6	14	0	0	0	4	129	92	0	0	68	2	6	0	0	0	40	12	10	14	8	32	35	10	16	4	32	2	26	2	18	6	215	0	0	2	5	3	65	2	0	1	0	4	6	2	4	37	8	4	0	5	6	9	491	12	4	4	5	14	393
K00682 -  GGCT; gamma-glutamylcyclotransferase [EC:4.3.2.9]	1	4	2	67	26	0	9	12	19	71	0	344	3	0	60	39	13	0	8	73	77	3	0	1	81	0	34	1	0	1	34	93	13	68	6	10	179	74	63	20	485	0	67	43	218	0	80	0	0	36	48	47	60	4	4	63	9	15	43	4	28	20	58	0	1	50	200	104	8	63	80	22	121	3	16
K00683 -  QPCT; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]	70	453	983	752	739	52	878	106	222	516	963	627	61	493	557	910	941	0	1093	704	715	877	0	59	2295	650	797	876	1525	29	323	889	557	1557	1325	101	251	503	844	411	490	0	300	766	703	1267	456	0	0	826	107	938	1560	310	707	774	503	467	719	702	1384	665	1185	1829	3	298	2090	927	69	412	647	1192	678	1855	963
K00684 -  aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]	1	66	10	12	14	53	44	0	17	0	56	7	4	43	4	4	36	0	23	20	59	81	0	1	10	33	37	39	45	5	18	18	84	16	38	13	4	8	5	114	163	0	31	26	0	93	84	0	0	23	36	86	2	0	20	70	8	17	28	22	12	20	18	27	0	11	6	12	4	4	3	6	24	11	138
"K00687 -  pbp2B, penA; penicillin-binding protein 2B"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
"K00688 -  PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]"	196	1071	2042	1663	2175	1047	2241	231	656	1277	1696	2169	117	1153	1365	2105	2124	0	3249	1414	1693	2356	1	115	4973	1161	1408	2391	3848	107	986	2150	1893	3352	3446	255	574	1409	1850	1351	1811	0	797	1755	4944	2557	2272	0	0	1867	675	2337	3156	753	1503	1671	1342	1296	1988	1948	3165	1595	2613	3986	24	670	2538	3574	1627	1129	1768	2258	1864	4251	10004
K00689 -  E2.4.1.5; dextransucrase [EC:2.4.1.5]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00690 -  E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]	5	22	40	78	44	78	80	7	108	11	23	305	4	2	25	36	37	0	154	2	9	165	0	4	326	0	82	81	44	1	49	33	205	82	167	15	3	47	5	90	207	4	63	2	588	17	196	0	0	2	74	34	124	97	0	5	30	87	65	245	15	138	7	91	2	11	89	123	140	26	51	20	45	43	1590
K00691 -  mapA; maltose phosphorylase [EC:2.4.1.8]	4	249	100	146	82	258	250	18	333	23	221	449	11	165	5	70	66	0	264	46	118	650	0	12	476	110	239	180	186	2	2	1	731	160	331	52	0	53	13	25	152	0	151	34	168	237	488	0	0	0	78	1	27	248	49	135	34	395	107	941	40	450	0	134	1	2	18	79	471	114	74	20	47	107	1192
K00694 -  bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]	0	68	34	63	65	259	105	0	22	56	27	256	2	20	10	24	115	0	245	17	20	72	0	1	175	25	60	219	190	7	95	73	314	37	407	44	2	148	81	149	100	0	170	5	1036	92	168	0	0	39	69	141	264	7	16	8	58	83	53	9	60	116	6	372	4	29	54	616	42	57	29	106	28	100	1496
K00697 -  otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
"K00700 -  GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]"	158	870	2014	1684	1950	559	2542	164	760	1145	1631	1885	97	903	1075	1781	2461	0	4105	1465	1627	2068	0	165	4767	949	1765	2027	3975	106	989	1861	2316	2484	5479	204	440	1340	2027	1242	1633	1	792	1365	2936	1830	1509	2	0	1687	525	1828	2079	688	1731	1546	1050	1346	2114	1702	3182	1562	2449	3798	24	524	2094	2742	1230	1056	1637	1649	1600	3904	6041
K00702 -  E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]	4	243	58	88	96	0	157	11	16	6	232	32	7	193	6	24	28	0	49	75	299	342	0	7	56	203	84	59	460	1	148	67	38	5	192	26	19	190	176	129	194	0	61	39	1446	251	695	0	0	0	161	86	127	14	57	279	44	59	99	189	73	233	7	159	2	2	285	146	516	119	205	24	139	262	4225
K00703 -  glgA; starch synthase [EC:2.4.1.21]	8	68	72	117	75	347	176	13	152	27	18	334	4	2	65	20	33	0	201	18	72	220	0	7	67	0	134	129	79	0	484	38	390	24	212	28	46	66	16	101	176	0	89	21	555	6	1634	0	0	13	215	104	169	89	8	6	31	201	136	342	30	189	42	110	9	38	42	350	587	73	49	39	117	96	2465
K00705 -  malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]	175	1049	2204	2018	2410	484	2714	180	560	1459	2237	1897	129	1207	1354	2297	3174	0	4846	2221	1840	2667	0	178	6088	1216	1541	2478	4951	147	1079	2484	2366	2929	6557	282	590	1714	2608	1483	2081	1	743	1493	5739	2446	2008	0	0	1973	540	2323	2981	606	2285	2026	1362	1354	2620	1712	3704	1399	2876	4504	24	631	2511	3508	911	1362	1975	1920	1595	4897	10648
K00712 -  tagE; poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]	9	39	50	76	31	168	126	28	264	2	20	245	5	3	2	29	38	0	220	8	3	334	0	3	237	2	165	100	78	1	2	12	515	95	264	40	0	44	6	17	85	0	88	0	126	37	194	0	0	0	70	0	15	178	2	2	27	240	61	573	13	333	2	68	6	0	9	49	321	80	39	17	27	74	718
"K00713 -  waaD; UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00721 -  DPM1; dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	39	337	497	470	568	24	612	37	115	376	483	326	37	354	282	552	788	0	1260	453	402	692	0	50	1337	320	410	589	1202	40	282	519	587	819	1545	80	158	388	573	296	324	0	211	313	669	676	602	0	0	495	111	459	521	137	561	529	283	368	597	463	946	333	662	1030	4	166	535	572	155	305	509	371	362	1340	2032
"K00728 -  POMT, pmt; dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]"	0	0	4	40	23	0	0	3	4	6	0	17	1	0	81	23	0	0	19	2	10	0	0	0	14	0	0	26	0	0	10	26	0	11	8	0	2	29	8	44	75	0	15	9	673	0	159	0	0	0	7	21	73	4	4	2	24	2	0	0	18	4	13	73	0	14	240	97	47	7	48	15	103	0	2435
"K00737 -  MGAT3; beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]"	0	4	16	2	0	0	29	2	4	0	0	4	1	0	0	0	9	0	0	0	20	2	0	0	7	0	5	4	2	0	39	4	9	2	0	0	4	0	3	2	27	0	6	0	2	0	0	0	0	2	52	2	0	4	0	0	2	9	16	0	0	4	2	4	0	2	0	13	132	2	1	0	14	0	6
K00748 -  lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]	69	562	1097	894	937	151	1341	103	271	657	1072	951	71	545	637	1029	1420	0	1964	926	1008	1104	0	88	2660	674	1121	1048	2109	65	384	1032	1061	1569	2613	180	261	681	1052	527	724	0	495	862	877	1198	1069	0	0	866	235	993	1603	335	905	937	568	677	1001	860	1582	883	1250	2280	5	298	1609	1095	269	549	893	1055	805	2435	1801
K00752 -  hasA; hyaluronan synthase [EC:2.4.1.212]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00754 -  bshA; L-malate glycosyltransferase [EC:2.4.1.-]	0	0	2	0	0	0	0	3	0	0	0	0	0	0	69	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	2	2	0	2	0	4	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	5	2	0
K00756 -  pdp; pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	3	29	23	68	28	149	83	16	98	12	11	285	3	4	76	18	20	0	114	3	72	164	0	7	175	2	141	66	47	0	4	6	291	96	107	27	23	15	4	24	81	0	73	39	60	12	100	0	0	2	44	2	22	89	0	13	11	132	46	260	4	158	19	40	1	14	11	53	211	50	20	24	131	25	406
"K00757 -  udp, UPP; uridine phosphorylase [EC:2.4.2.3]"	10	56	135	147	149	56	313	2	63	59	60	258	9	44	66	76	311	0	649	157	238	137	0	27	337	14	183	49	205	26	108	140	371	21	1253	15	18	172	332	86	159	0	39	46	897	10	317	0	0	47	76	81	150	12	210	145	26	157	220	182	173	9	55	262	4	6	459	348	174	93	145	103	87	185	354
"K00758 -  deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]"	2	25	17	43	15	209	75	13	98	11	9	174	3	2	61	16	16	0	114	0	0	158	0	7	152	2	128	62	45	0	0	0	283	91	108	22	0	12	4	9	48	0	61	28	58	10	94	0	0	0	41	0	27	89	0	2	9	123	42	252	4	152	5	38	0	10	5	42	140	44	16	17	69	20	436
"K00759 -  APRT, apt; adenine phosphoribosyltransferase [EC:2.4.2.7]"	35	198	509	384	430	93	535	61	141	246	473	494	17	219	276	559	531	0	832	292	367	529	0	44	1090	259	509	544	884	28	243	388	498	813	1100	65	82	257	395	166	277	0	250	416	807	471	405	0	1	380	96	519	599	169	335	329	273	372	463	400	754	481	610	1084	2	137	522	658	206	288	332	501	397	1212	1392
"K00760 -  hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]"	70	425	656	388	425	547	697	91	283	314	725	794	38	267	344	720	525	0	857	268	483	743	0	48	1364	472	662	742	1359	28	216	372	378	1188	672	95	102	263	329	304	440	0	288	614	862	777	530	0	0	468	158	806	583	249	335	344	296	515	537	442	906	609	821	1333	5	201	457	971	315	279	340	687	696	1996	1755
"K00761 -  upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]"	2	54	35	90	65	115	81	4	103	18	8	309	1	4	29	22	54	0	107	20	68	130	0	2	143	2	162	94	64	3	59	18	263	60	215	27	14	72	21	75	178	0	112	20	819	23	193	0	0	21	96	62	126	46	4	15	28	175	64	159	39	185	31	189	7	14	99	208	281	37	60	41	110	43	1479
K00762 -  pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]	87	421	897	672	663	310	1039	101	267	499	833	925	69	382	594	978	1018	0	1535	472	860	947	0	64	2016	576	1019	973	1699	61	306	635	919	1461	1788	144	166	472	698	337	653	0	444	820	1224	993	995	0	0	777	301	892	1121	320	692	558	454	651	700	695	1223	663	835	1906	14	249	1468	1188	390	425	642	1070	824	2129	2150
